QUANTITYORDERED,PRICEEACH,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,CITY,STATE,COUNTRY,DEALSIZE
30,95.7,2871.0,2/24/2003 0:00,Shipped,1,2,2003,Motorcycles,95,NYC,NY,USA,Small
34,81.35,2765.9,5/7/2003 0:00,Shipped,2,5,2003,Motorcycles,95,Reims,,France,Small
41,94.74,3884.34,7/1/2003 0:00,Shipped,3,7,2003,Motorcycles,95,Paris,,France,Medium
45,83.26,3746.7,8/25/2003 0:00,Shipped,3,8,2003,Motorcycles,95,Pasadena,CA,USA,Medium
49,100.0,5205.27,10/10/2003 0:00,Shipped,4,10,2003,Motorcycles,95,San Francisco,CA,USA,Medium
36,96.66,3479.76,10/28/2003 0:00,Shipped,4,10,2003,Motorcycles,95,Burlingame,CA,USA,Medium
29,86.13,2497.77,11/11/2003 0:00,Shipped,4,11,2003,Motorcycles,95,Lille,,France,Small
48,100.0,5512.32,11/18/2003 0:00,Shipped,4,11,2003,Motorcycles,95,Bergen,,Norway,Medium
22,98.57,2168.54,12/1/2003 0:00,Shipped,4,12,2003,Motorcycles,95,San Francisco,CA,USA,Small
41,100.0,4708.44,1/15/2004 0:00,Shipped,1,1,2004,Motorcycles,95,Paris,,France,Medium
37,100.0,3965.66,2/20/2004 0:00,Shipped,1,2,2004,Motorcycles,95,Melbourne,Victoria,Australia,Medium
23,100.0,2333.12,4/5/2004 0:00,Shipped,2,4,2004,Motorcycles,95,NYC,NY,USA,Small
28,100.0,3188.64,5/18/2004 0:00,Shipped,2,5,2004,Motorcycles,95,Newark,NJ,USA,Medium
34,100.0,3676.76,6/28/2004 0:00,Shipped,2,6,2004,Motorcycles,95,Bridgewater,CT,USA,Medium
45,92.83,4177.35,7/23/2004 0:00,Shipped,3,7,2004,Motorcycles,95,Nantes,,France,Medium
36,100.0,4099.68,8/27/2004 0:00,Shipped,3,8,2004,Motorcycles,95,Cambridge,MA,USA,Medium
23,100.0,2597.39,9/30/2004 0:00,Shipped,3,9,2004,Motorcycles,95,Helsinki,,Finland,Small
41,100.0,4394.38,10/15/2004 0:00,Shipped,4,10,2004,Motorcycles,95,Stavern,,Norway,Medium
46,94.74,4358.04,11/2/2004 0:00,Shipped,4,11,2004,Motorcycles,95,Allentown,PA,USA,Medium
42,100.0,4396.14,11/15/2004 0:00,Shipped,4,11,2004,Motorcycles,95,NYC,NY,USA,Medium
41,100.0,7737.93,11/24/2004 0:00,Shipped,4,11,2004,Motorcycles,95,Salzburg,,Austria,Large
20,72.55,1451.0,12/17/2004 0:00,Shipped,4,12,2004,Motorcycles,95,Chatswood,NSW,Australia,Small
21,34.91,733.11,2/3/2005 0:00,Shipped,1,2,2005,Motorcycles,95,Nantes,,France,Small
42,76.36,3207.12,3/3/2005 0:00,Shipped,1,3,2005,Motorcycles,95,New Bedford,MA,USA,Medium
24,100.0,2434.56,4/8/2005 0:00,Shipped,2,4,2005,Motorcycles,95,Liverpool,,UK,Small
26,100.0,5404.62,1/29/2003 0:00,Shipped,1,1,2003,Classic Cars,214,Stavern,,Norway,Medium
29,100.0,7209.11,3/24/2003 0:00,Shipped,1,3,2003,Classic Cars,214,Lule,,Sweden,Large
38,100.0,7329.06,5/28/2003 0:00,Shipped,2,5,2003,Classic Cars,214,Madrid,,Spain,Large
37,100.0,7374.1,7/24/2003 0:00,Shipped,3,7,2003,Classic Cars,214,Burlingame,CA,USA,Large
45,100.0,10993.5,9/19/2003 0:00,Shipped,3,9,2003,Classic Cars,214,Singapore,,Singapore,Large
21,100.0,4860.24,10/20/2003 0:00,Shipped,4,10,2003,Classic Cars,214,NYC,NY,USA,Medium
34,100.0,8014.82,11/6/2003 0:00,Shipped,4,11,2003,Classic Cars,214,South Brisbane,Queensland,Australia,Large
23,100.0,5372.57,11/13/2003 0:00,Shipped,4,11,2003,Classic Cars,214,Philadelphia,PA,USA,Medium
42,100.0,7290.36,11/25/2003 0:00,Shipped,4,11,2003,Classic Cars,214,Lyon,,France,Large
47,100.0,9064.89,12/5/2003 0:00,Shipped,4,12,2003,Classic Cars,214,Vancouver,BC,Canada,Large
35,100.0,6075.3,1/29/2004 0:00,Shipped,1,1,2004,Classic Cars,214,Burbank,CA,USA,Medium
29,100.0,6463.23,3/10/2004 0:00,Shipped,1,3,2004,Classic Cars,214,Cambridge,MA,USA,Medium
34,100.0,6120.34,5/4/2004 0:00,Shipped,2,5,2004,Classic Cars,214,New Haven,CT,USA,Medium
32,100.0,7680.64,6/15/2004 0:00,Shipped,2,6,2004,Classic Cars,214,Minato-ku,Tokyo,Japan,Large
21,100.0,4905.39,7/19/2004 0:00,Shipped,3,7,2004,Classic Cars,214,Chatswood,NSW,Australia,Medium
34,100.0,8014.82,8/17/2004 0:00,Shipped,3,8,2004,Classic Cars,214,Torino,,Italy,Large
37,100.0,7136.19,9/8/2004 0:00,Shipped,3,9,2004,Classic Cars,214,Boras,,Sweden,Large
47,100.0,10172.7,10/11/2004 0:00,Shipped,4,10,2004,Classic Cars,214,Versailles,,France,Large
48,100.0,11623.7,10/21/2004 0:00,Shipped,4,10,2004,Classic Cars,214,San Rafael,CA,USA,Large
40,100.0,6000.4,11/4/2004 0:00,Shipped,4,11,2004,Classic Cars,214,Nashua,NH,USA,Medium
26,100.0,3003.0,11/18/2004 0:00,Shipped,4,11,2004,Classic Cars,214,San Francisco,CA,USA,Medium
30,100.0,3944.7,11/29/2004 0:00,Shipped,4,11,2004,Classic Cars,214,Melbourne,Victoria,Australia,Medium
32,100.0,5691.84,12/10/2004 0:00,Shipped,4,12,2004,Classic Cars,214,San Rafael,CA,USA,Medium
41,100.0,4514.92,1/20/2005 0:00,Shipped,1,1,2005,Classic Cars,214,Brickhaven,MA,USA,Medium
36,100.0,8254.8,2/17/2005 0:00,Shipped,1,2,2005,Classic Cars,214,San Francisco,CA,USA,Large
24,100.0,2416.56,3/9/2005 0:00,Shipped,1,3,2005,Classic Cars,214,North Sydney,NSW,Australia,Small
23,100.0,4140.23,5/1/2005 0:00,Shipped,2,5,2005,Classic Cars,214,Montreal,Quebec,Canada,Medium
39,99.91,3896.49,2/24/2003 0:00,Shipped,1,2,2003,Motorcycles,118,NYC,NY,USA,Medium
29,96.34,2793.86,4/29/2003 0:00,Shipped,2,4,2003,Motorcycles,118,Melbourne,Victoria,Australia,Small
27,100.0,3307.77,7/1/2003 0:00,Shipped,3,7,2003,Motorcycles,118,Paris,,France,Medium
37,100.0,5192.95,8/25/2003 0:00,Shipped,3,8,2003,Motorcycles,118,Pasadena,CA,USA,Medium
37,100.0,5016.83,10/10/2003 0:00,Shipped,4,10,2003,Motorcycles,118,San Francisco,CA,USA,Medium
27,100.0,3660.93,10/28/2003 0:00,Shipped,4,10,2003,Motorcycles,118,Burlingame,CA,USA,Medium
42,100.0,4695.6,11/11/2003 0:00,Shipped,4,11,2003,Motorcycles,118,Lille,,France,Medium
38,96.34,3660.92,11/18/2003 0:00,Shipped,4,11,2003,Motorcycles,118,Bergen,,Norway,Medium
24,100.0,3025.92,12/1/2003 0:00,Shipped,4,12,2003,Motorcycles,118,San Francisco,CA,USA,Medium
23,100.0,3009.09,1/12/2004 0:00,Shipped,1,1,2004,Motorcycles,118,Osaka,Osaka,Japan,Medium
47,100.0,5422.39,2/20/2004 0:00,Shipped,1,2,2004,Motorcycles,118,Melbourne,Victoria,Australia,Medium
